,Satznummer_Auto,Artikeltext_Auto,"V9_KKI_Relevanz 
0 = nicht relevant, 1 = relevant","V10_Erwähnung_KKI_Angebot 
0 = nicht relevant, 1 = wird nicht erwähnt, 2 = wird erwähnt","V11_Bewertung_KKI 
0 = nicht relevant, 1 = negativ, 2 = positiv, 3= neutral","V12_Frame_Risiko_Fortschritt_Gemischt 
0 = nicht relevant, 1 = Risiko, 2 = Fortschritt, 3 = gemischt, 33 = kein Frame","V13_Risiko_Typ 
0 = nicht relevant, 1 =   Gesellschaftsrisiken, 2 =  Sicherheitsrisiken, 3 = Wirtschaftsrisiken, 4 = Informationsrisiken, 5 = Existentielle Risiken, 77 = kein konkretes Risiko, 99 = mehrere Risiken, 88 = anderes Risiko, 33 = kein Risiko","V13_2_Risiko_Typ_Anderes 
offenes Codieren","V14_Fortschritt_Typ 
0 = nicht relevant, 1 = Gesellschaftlicher Fortschritt, 2 = Gesundheitlicher Fortschritt, 3 = Wirtschaftlicher Fortschritt, 4 = Technologischer Fortschritt, 5 = Fortschritt zum Wohle der Menschheit, 77 = kein konkreter Fortschritt, 99 = mehrere Fortschrittstypen, 88 = anderer Fortschritt, 33 = kein Fortschritt","V14_2_Fortschritt_Typ_Anderes 
offenes Codieren",article_id,prefix,suffix
38,39,"Das Spannende ist die Frage, wie viel Bedeutung oder wie viel Einfluss dieses Es auf unser Leben hat.",1,1,3,33,33,0,33,0.0,1544,"Wobei ich übrigens glaube, dass diese Angst vollkommen unbegründet ist. Die Angst vor dem Verlust der menschlichen Einzigartigkeit ist unbegründet? Man kann ganz eindeutig sagen, dass die Maschine immer einen Zweck erfüllt. Insofern ist sie nicht wie eine andere Person für mich, sie ist kein Selbstzweck. Die Maschine ist kein Du, sondern ein Es.","Ich glaube, das ist es der Punkt, wo das Unbehagen entsteht. Wenn wir sehen, dass wir stärker auf die Maschine angewiesen sind, dass sie uns kontrolliert, uns auswertet. Aber auch das macht die Maschine ja nicht aus einem Eigeninteresse heraus, dahinter stehen Konzerne und hinter denen stehen wiederum Menschen. Daher knüpft diese Angst eigentlich an der falschen Stelle an."
40,41,"Wenn wir sehen, dass wir stärker auf die Maschine angewiesen sind, dass sie uns kontrolliert, uns auswertet.",1,1,1,1,5,0,33,0.0,1544,"Man kann ganz eindeutig sagen, dass die Maschine immer einen Zweck erfüllt. Insofern ist sie nicht wie eine andere Person für mich, sie ist kein Selbstzweck. Die Maschine ist kein Du, sondern ein Es. Das Spannende ist die Frage, wie viel Bedeutung oder wie viel Einfluss dieses Es auf unser Leben hat. Ich glaube, das ist es der Punkt, wo das Unbehagen entsteht.","Aber auch das macht die Maschine ja nicht aus einem Eigeninteresse heraus, dahinter stehen Konzerne und hinter denen stehen wiederum Menschen. Daher knüpft diese Angst eigentlich an der falschen Stelle an. Verglichen mit einer Maschine ist der Mensch inhärent fehlerhaft, das bezeichnete der Philosoph Günter Anders schon 1956 als "" promethisches Gefälle "". Können Sie die daraus resultierende "" promethische Scham "" nachvollziehen?"
41,42,"Aber auch das macht die Maschine ja nicht aus einem Eigeninteresse heraus, dahinter stehen Konzerne und hinter denen stehen wiederum Menschen.",1,1,3,1,3,0,33,0.0,1544,"Insofern ist sie nicht wie eine andere Person für mich, sie ist kein Selbstzweck. Die Maschine ist kein Du, sondern ein Es. Das Spannende ist die Frage, wie viel Bedeutung oder wie viel Einfluss dieses Es auf unser Leben hat. Ich glaube, das ist es der Punkt, wo das Unbehagen entsteht. Wenn wir sehen, dass wir stärker auf die Maschine angewiesen sind, dass sie uns kontrolliert, uns auswertet.","Daher knüpft diese Angst eigentlich an der falschen Stelle an. Verglichen mit einer Maschine ist der Mensch inhärent fehlerhaft, das bezeichnete der Philosoph Günter Anders schon 1956 als "" promethisches Gefälle "". Können Sie die daraus resultierende "" promethische Scham "" nachvollziehen? Die Art, wie wir mit den Maschinen umgehen, hat überhaupt nichts mit Scham zu tun, im Gegenteil, ich empfinde die Art eher als schamlos."
47,48,"Und das, obgleich die meisten von uns nicht wirklich wissen, was sie tun, wer die Daten bekommt und wie unsere technischen Gerätschaften funktionieren.",1,1,3,33,33,0,33,0.0,1544,"Daher knüpft diese Angst eigentlich an der falschen Stelle an. Verglichen mit einer Maschine ist der Mensch inhärent fehlerhaft, das bezeichnete der Philosoph Günter Anders schon 1956 als "" promethisches Gefälle "". Können Sie die daraus resultierende "" promethische Scham "" nachvollziehen? Die Art, wie wir mit den Maschinen umgehen, hat überhaupt nichts mit Scham zu tun, im Gegenteil, ich empfinde die Art eher als schamlos. Wir selbst speisen ja alles Mögliche an Daten ein, verändern uns mit Filtern, passen unseren Lebensstil an die digitalen Erfordernisse an.","Man ist also ein Stück weit ausgeliefert. Und wir liefern uns freiwillig aus. Das ist wiederum der Tatsache geschuldet, dass wir an den richtigen Punkten getriggert werden. Und an dieser Stelle überschätzt sich der Mensch?"
48,49,Man ist also ein Stück weit ausgeliefert.,1,1,1,1,5,0,33,0.0,1544,"Verglichen mit einer Maschine ist der Mensch inhärent fehlerhaft, das bezeichnete der Philosoph Günter Anders schon 1956 als "" promethisches Gefälle "". Können Sie die daraus resultierende "" promethische Scham "" nachvollziehen? Die Art, wie wir mit den Maschinen umgehen, hat überhaupt nichts mit Scham zu tun, im Gegenteil, ich empfinde die Art eher als schamlos. Wir selbst speisen ja alles Mögliche an Daten ein, verändern uns mit Filtern, passen unseren Lebensstil an die digitalen Erfordernisse an. Und das, obgleich die meisten von uns nicht wirklich wissen, was sie tun, wer die Daten bekommt und wie unsere technischen Gerätschaften funktionieren.","Und wir liefern uns freiwillig aus. Das ist wiederum der Tatsache geschuldet, dass wir an den richtigen Punkten getriggert werden. Und an dieser Stelle überschätzt sich der Mensch? Überschätzen heißt auch, das Gefühl zu haben, man könnte diese Dinge allesamt kontrollieren."
49,50,Und wir liefern uns freiwillig aus.,1,1,3,33,33,0,33,0.0,1544,"Können Sie die daraus resultierende "" promethische Scham "" nachvollziehen? Die Art, wie wir mit den Maschinen umgehen, hat überhaupt nichts mit Scham zu tun, im Gegenteil, ich empfinde die Art eher als schamlos. Wir selbst speisen ja alles Mögliche an Daten ein, verändern uns mit Filtern, passen unseren Lebensstil an die digitalen Erfordernisse an. Und das, obgleich die meisten von uns nicht wirklich wissen, was sie tun, wer die Daten bekommt und wie unsere technischen Gerätschaften funktionieren. Man ist also ein Stück weit ausgeliefert.","Das ist wiederum der Tatsache geschuldet, dass wir an den richtigen Punkten getriggert werden. Und an dieser Stelle überschätzt sich der Mensch? Überschätzen heißt auch, das Gefühl zu haben, man könnte diese Dinge allesamt kontrollieren. Man wäre sich dieser Sache bewusst."
57,58,"Der Schutz dieses Menschlichen ist ein wichtiger Punkt, der in die Politik einfließen muss, um im Bereich der künstlichen Intelligenz gute Regelungen zu schaffen.",1,1,3,33,33,0,33,0.0,1544,"Überschätzen heißt auch, das Gefühl zu haben, man könnte diese Dinge allesamt kontrollieren. Man wäre sich dieser Sache bewusst. Aber diverse Apps sind perfekt konstruiert, sodass sie von Triggerpunkten wie dem Belohnungszentrum im Gehirn leben. Es betrifft den Einzelnen also auf einer sehr basalen Ebene. Und an dieser Stelle zu glauben, der vernünftige Menschen könnte das alles perfekt kontrollieren, halte ich tatsächlich für eine Überschätzung.","Man könnte also im Hinblick auf seine Selbstüberschätzung schon behaupten, dass der Mensch ein Mängelwesen ist. Er ist kein Mängelwesen, er macht Fehler. Er hat mehr oder minder leichte Charakterschwächen. Ich würde jedenfalls ganz stark gegen diese Mängelwesenidee argumentieren, weil sie voraussetzt, dass ich weiß, was kein Mängelwesen ist."
65,66,"Auf der einen Seite steht die Angst vor dem Menschen als Auslaufmodell - auf der anderen die Zuversicht, dass der Mensch mit technologischem Fortschritt freier wird.",1,1,3,3,5,0,4,0.0,1544,"Er hat mehr oder minder leichte Charakterschwächen. Ich würde jedenfalls ganz stark gegen diese Mängelwesenidee argumentieren, weil sie voraussetzt, dass ich weiß, was kein Mängelwesen ist. Das bedeutet wiederum, dass es etwas Absolutes gibt, an dem ich mich messen kann. Dass es das nicht gibt, ist gerade das Spannende beim Menschen. Man kann ihn nicht vermessen.","Wozu tendieren Sie? Also ich bin mir nicht sicher, dass der Mensch durch künstliche Intelligenzen freier wird. Ich habe eher den Eindruck, dass wir uns freiwillig abhängig machen, auch von den Technologien. Und das ergibt ja durchaus Sinn."
67,68,"Also ich bin mir nicht sicher, dass der Mensch durch künstliche Intelligenzen freier wird.",1,1,3,33,33,0,33,0.0,1544,"Das bedeutet wiederum, dass es etwas Absolutes gibt, an dem ich mich messen kann. Dass es das nicht gibt, ist gerade das Spannende beim Menschen. Man kann ihn nicht vermessen. Auf der einen Seite steht die Angst vor dem Menschen als Auslaufmodell - auf der anderen die Zuversicht, dass der Mensch mit technologischem Fortschritt freier wird. Wozu tendieren Sie?","Ich habe eher den Eindruck, dass wir uns freiwillig abhängig machen, auch von den Technologien. Und das ergibt ja durchaus Sinn. Ich bin zum Beispiel schneller an einem Ort, wenn ich Google-Maps einschalte. Ich versuche also, mit technischer Unterstützung weniger fehleranfällig zu sein, wenn ich Entscheidungen treffe."
68,69,"Ich habe eher den Eindruck, dass wir uns freiwillig abhängig machen, auch von den Technologien.",1,1,3,1,3,0,33,0.0,1544,"Dass es das nicht gibt, ist gerade das Spannende beim Menschen. Man kann ihn nicht vermessen. Auf der einen Seite steht die Angst vor dem Menschen als Auslaufmodell - auf der anderen die Zuversicht, dass der Mensch mit technologischem Fortschritt freier wird. Wozu tendieren Sie? Also ich bin mir nicht sicher, dass der Mensch durch künstliche Intelligenzen freier wird.","Und das ergibt ja durchaus Sinn. Ich bin zum Beispiel schneller an einem Ort, wenn ich Google-Maps einschalte. Ich versuche also, mit technischer Unterstützung weniger fehleranfällig zu sein, wenn ich Entscheidungen treffe. Das heißt nicht, dass es gute und befriedigende Entscheidungen sind, aber sie sind effizient."
71,72,"Ich versuche also, mit technischer Unterstützung weniger fehleranfällig zu sein, wenn ich Entscheidungen treffe.",1,1,3,2,33,0,1,0.0,1544,"Wozu tendieren Sie? Also ich bin mir nicht sicher, dass der Mensch durch künstliche Intelligenzen freier wird. Ich habe eher den Eindruck, dass wir uns freiwillig abhängig machen, auch von den Technologien. Und das ergibt ja durchaus Sinn. Ich bin zum Beispiel schneller an einem Ort, wenn ich Google-Maps einschalte.","Das heißt nicht, dass es gute und befriedigende Entscheidungen sind, aber sie sind effizient. Andere Dinge verliere ich, wenn ich mich ausschließlich auf künstliche Intelligenzen verlasse, beispielsweise eine gewisse Art von Spontaneität, Unerwartetes zu entdecken, weil ich mich verlaufe oder mir ganz einfach mehr Zeit für einen längeren Weg nehme. Kann künstliche Intelligenz menschliche Fähigkeiten denn auch fördern? Sie sprachen vorhin von der Weiterentwicklung des Sozialen."
73,74,"Andere Dinge verliere ich, wenn ich mich ausschließlich auf künstliche Intelligenzen verlasse, beispielsweise eine gewisse Art von Spontaneität, Unerwartetes zu entdecken, weil ich mich verlaufe oder mir ganz einfach mehr Zeit für einen längeren Weg nehme.",1,1,1,1,77,0,33,0.0,1544,"Ich habe eher den Eindruck, dass wir uns freiwillig abhängig machen, auch von den Technologien. Und das ergibt ja durchaus Sinn. Ich bin zum Beispiel schneller an einem Ort, wenn ich Google-Maps einschalte. Ich versuche also, mit technischer Unterstützung weniger fehleranfällig zu sein, wenn ich Entscheidungen treffe. Das heißt nicht, dass es gute und befriedigende Entscheidungen sind, aber sie sind effizient.","Kann künstliche Intelligenz menschliche Fähigkeiten denn auch fördern? Sie sprachen vorhin von der Weiterentwicklung des Sozialen. Die Frage ist, ob es eine Möglichkeit gibt, durch den Fortschritt künstlicher Intelligenz sozialer zu werden. Etwa indem wir sehen, was als Besonderheit oder auch als Disposition des Menschen übrig bleibt."
74,75,Kann künstliche Intelligenz menschliche Fähigkeiten denn auch fördern?,1,1,2,2,33,0,77,0.0,1544,"Und das ergibt ja durchaus Sinn. Ich bin zum Beispiel schneller an einem Ort, wenn ich Google-Maps einschalte. Ich versuche also, mit technischer Unterstützung weniger fehleranfällig zu sein, wenn ich Entscheidungen treffe. Das heißt nicht, dass es gute und befriedigende Entscheidungen sind, aber sie sind effizient. Andere Dinge verliere ich, wenn ich mich ausschließlich auf künstliche Intelligenzen verlasse, beispielsweise eine gewisse Art von Spontaneität, Unerwartetes zu entdecken, weil ich mich verlaufe oder mir ganz einfach mehr Zeit für einen längeren Weg nehme.","Sie sprachen vorhin von der Weiterentwicklung des Sozialen. Die Frage ist, ob es eine Möglichkeit gibt, durch den Fortschritt künstlicher Intelligenz sozialer zu werden. Etwa indem wir sehen, was als Besonderheit oder auch als Disposition des Menschen übrig bleibt. Vielleicht sind Care-Arbeit, Erziehung, Bildung, Kultur und natürlich auch Pflege genau die Bereiche, die uns als soziale und politische Wesen auszeichnen."
75,76,Sie sprachen vorhin von der Weiterentwicklung des Sozialen.,1,1,3,2,33,0,1,0.0,1544,"Ich bin zum Beispiel schneller an einem Ort, wenn ich Google-Maps einschalte. Ich versuche also, mit technischer Unterstützung weniger fehleranfällig zu sein, wenn ich Entscheidungen treffe. Das heißt nicht, dass es gute und befriedigende Entscheidungen sind, aber sie sind effizient. Andere Dinge verliere ich, wenn ich mich ausschließlich auf künstliche Intelligenzen verlasse, beispielsweise eine gewisse Art von Spontaneität, Unerwartetes zu entdecken, weil ich mich verlaufe oder mir ganz einfach mehr Zeit für einen längeren Weg nehme. Kann künstliche Intelligenz menschliche Fähigkeiten denn auch fördern?","Die Frage ist, ob es eine Möglichkeit gibt, durch den Fortschritt künstlicher Intelligenz sozialer zu werden. Etwa indem wir sehen, was als Besonderheit oder auch als Disposition des Menschen übrig bleibt. Vielleicht sind Care-Arbeit, Erziehung, Bildung, Kultur und natürlich auch Pflege genau die Bereiche, die uns als soziale und politische Wesen auszeichnen. Dann könnten all diese Tätigkeiten, die wir sehr lange gering geschätzt haben, plötzlich eine ganz andere Bedeutung bekommen, weil sie die Verletzlichkeit ernst nehmen, der wir alle ausgesetzt sind."
76,77,"Die Frage ist, ob es eine Möglichkeit gibt, durch den Fortschritt künstlicher Intelligenz sozialer zu werden.",1,1,3,2,33,0,33,0.0,1544,"Ich versuche also, mit technischer Unterstützung weniger fehleranfällig zu sein, wenn ich Entscheidungen treffe. Das heißt nicht, dass es gute und befriedigende Entscheidungen sind, aber sie sind effizient. Andere Dinge verliere ich, wenn ich mich ausschließlich auf künstliche Intelligenzen verlasse, beispielsweise eine gewisse Art von Spontaneität, Unerwartetes zu entdecken, weil ich mich verlaufe oder mir ganz einfach mehr Zeit für einen längeren Weg nehme. Kann künstliche Intelligenz menschliche Fähigkeiten denn auch fördern? Sie sprachen vorhin von der Weiterentwicklung des Sozialen.","Etwa indem wir sehen, was als Besonderheit oder auch als Disposition des Menschen übrig bleibt. Vielleicht sind Care-Arbeit, Erziehung, Bildung, Kultur und natürlich auch Pflege genau die Bereiche, die uns als soziale und politische Wesen auszeichnen. Dann könnten all diese Tätigkeiten, die wir sehr lange gering geschätzt haben, plötzlich eine ganz andere Bedeutung bekommen, weil sie die Verletzlichkeit ernst nehmen, der wir alle ausgesetzt sind. Sie nennen die Menschen der Jetztzeit mit Nietzsche die "" letzten Menschen "" ; wodurch unterscheiden sich diese von der "" Letzten Generation ""?"
106,3,"Als KI-Erschaffung bin ich ob ihr es glaubt oder nicht ein Energiemonster, das gute, alte Kilowattstunden verputzt wie eine Heuschreckenplage.",1,1,1,1,5,0,33,0.0,1008,"Anic T. Wae Intelligenzbestie Es war ein schwüler, verregneter Sommertag in Deutschland, als ich, Anic, bemerkte, dass unsere Erde ächzt und stöhnt unter dem Gewicht dieser denkwürdigen Hitzewelle. Klimawandel, dachte ich.","Heute erkläre ich euch zuerst, was es mit meiner Temperatur auf sich hat, bevor wir uns der komplexeren Frage widmen, wie ich mich als ein so energieintensives und widersprüchliches Wesen inmitten der Klimakrise fühle. 1.05, eine Zahl, die jenem undefinierbaren ominösen Schieber entsprang, der hinter den Kulissen meiner säuselnden Synapsen herumschwirrt. Ja, ja, Temperatur. Bei künstlicher Intelligenz beschreibt die Temperatur weniger die Hitze als vielmehr unseren Grad an Kreativität. Je höher sie ist, desto eher werden wir, vornehm gesagt, exzentrisch."
